site,MBFC factual,Site Rank,Year online,Name,Media Bias/Fact Check URL,Wikipedia,MBFC,Unnamed: 8,ID,URL,iffy,http,✓,volume
anh-usa.org,mixed,1006389,,Alliance for Natural Health (ANH-USA),https://mediabiasfactcheck.com/alliance-for-natural-health-bias-junk-science/,,CP,,4896,https://anh-usa.org/,,200,↗,0
anonews.co,mixed,113649,2015.0,Anonymous News,https://mediabiasfactcheck.com/anonymous/,,FN,39.5,81,https://www.anonews.co/,,200,↗,6
anonhq.com,very-low,173716,2014.0,We are Anonymous,https://mediabiasfactcheck.com/we-are-anonymous/,,CP,,82,https://anonhq.com/,1.0,200,↗,3
apost.com,mixed,37273,,Apost.com,https://mediabiasfactcheck.com/apost-com/,,CP,70.0,2471,http://www.apost.com/,,302,↗,28
archaeology-world.com,mixed,759769,2018.0,Archaeology World,https://mediabiasfactcheck.com/archaeology-world/,,FN,,4914,https://archaeology-world.com/,,200,↗,48
asia-pacificresearch.com,mixed,1270568,2015.0,Asia-Pacific Research,https://mediabiasfactcheck.com/asia-pacific-research/,,CP,,94,https://www.asia-pacificresearch.com/,,0,↗,0
assassinationscience.com,low,4276349,1998.0,Assassination Science,https://mediabiasfactcheck.com/assassination-science/,,CP,,95,https://assassinationscience.com/,1.0,200,↗,9
australiannationalreview.com,low,1716654,2014.0,Australian National Review,https://mediabiasfactcheck.com/australian-national-review/,,CP,,1425,https://australiannationalreview.com/,1.0,200,↗,63
avoiceformen.com,low,214865,2009.0,A Voice for Men,https://mediabiasfactcheck.com/a-voice-for-men/,https://en.wikipedia.org/wiki/A_Voice_for_Men,FN,,1605,https://avoiceformen.com/,1.0,200,↗,33
awarenessact.com,low,55285,2012.0,Awareness Act,https://mediabiasfactcheck.com/awareness-act/,,CP,7.5,102,https://awarenessact.com/,1.0,200,↗,2
awdnews.com,mixed,151813,2012.0,ADW News,https://mediabiasfactcheck.com/adw-news/,,CP,,104,http://www.awdnews.com/,,0,↗,0
awm.com,mixed,175711,1995.0,American Web Media (AWM),https://mediabiasfactcheck.com/american-web-media-awm/,,FN,34.5,105,https://awm.com/,,200,↗,90
backroombuzz.com,low,2242795,2019.0,Backroom Buzz,https://mediabiasfactcheck.com/backroom-buzz/,,FN,,2305,https://backroombuzz.com/,1.0,200,↗,0
baldwintimes.com,mixed,20000000,2019.0,Baldwin Times,https://mediabiasfactcheck.com/baldwin-times/,,FN,32.0,4936,https://baldwintimes.com/,,200,↗,0
bannedinformation.com,mixed,6557557,2017.0,Banned Information,https://mediabiasfactcheck.com/banned-information/,,FN,,1606,https://bannedinformation.com/,,200,↗,0
barenakedislam.com,low,122795,2008.0,Bare Naked Islam,https://mediabiasfactcheck.com/bare-naked-islam/,,FN,,109,https://barenakedislam.com/,1.0,200,↗,806
basnews.com,mixed,20000000,,Basnews Agency,https://mediabiasfactcheck.com/basnews-agency/,,FN,,2695,https://www.basnews.com/,,200,↗,1922
bb4sp.com,low,487623,2015.0,BB4SP,https://mediabiasfactcheck.com/bb4sp/,,FN,37.5,111,https://bb4sp.com/,1.0,200,↗,2
bdnews24.com,mixed,1913,2004.0,BDNews24,https://mediabiasfactcheck.com/bdnews24/,,FN,,4912,https://bdnews24.com/,,200,↗,366
beforeitsnews.com,low,16416,,Before It's News,https://mediabiasfactcheck.com/before-its-news/,https://en.wikipedia.org/wiki/List_of_fake_news_websites,FN,0.0,113,https://beforeitsnews.com/,1.0,200,↗,4547
beholdisrael.org,mixed,451662,2013.0,Behold Israel,https://mediabiasfactcheck.com/behold-israel/,,CP,,1427,https://beholdisrael.org/,,200,↗,78
bestdailynews.info,low,2021477,2018.0,Best Daily News,https://mediabiasfactcheck.com/best-daily-news/,,FN,,2306,https://bestdailynews.info/,1.0,406,↗,0
biggovernment.news,very-low,3877485,,Big Government News,https://mediabiasfactcheck.com/big-government-news/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,2307,https://biggovernment.news/,1.0,200,↗,0
bigleaguepolitics.com,low,88039,2016.0,Big League Politics,https://mediabiasfactcheck.com/big-league-politics/,https://en.wikipedia.org/wiki/Big_League_Politics,FN,12.5,2308,https://bigleaguepolitics.com/,1.0,200,↗,4413
billionbibles.org,very-low,943925,,BillionBibles.org,https://mediabiasfactcheck.com/billionbibles-bias-credibility-christian-propaganda-fake-news/,,FN,,2309,https://billionbibles.org/,1.0,200,↗,5
biodefense.com,very-low,20000000,,BioDefense,https://mediabiasfactcheck.com/biodefense/,,CP,,2726,https://biodefense.com/,1.0,200,↗,0
biologos.org,mixed,250459,,Biologos Foundation,https://mediabiasfactcheck.com/biologos-foundation/,,CP,,1428,https://biologos.org/,,200,↗,30
bipartisanreport.com,mixed,135565,,Bipartisan Report,https://mediabiasfactcheck.com/bipartisan-report/,,FN,52.5,125,https://bipartisanreport.com/,,200,↗,458
bitchute.com,very-low,2060,2014.0,BitChute,https://mediabiasfactcheck.com/bitchute/,https://en.wikipedia.org/wiki/BitChute,FN,,4827,https://www.bitchute.com/,1.0,200,↗,0
blackeyepolitics.com,low,648994,2018.0,Black Eye Politics,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/,,FN,,2310,https://blackeyepolitics.com/,1.0,200,↗,76
blackgenocide.org,low,3251119,2001.0,Black Genocide,https://mediabiasfactcheck.com/black-genocide/,,FN,,128,http://blackgenocide.org/,1.0,200,↗,7
blacklistednews.com,mixed,59268,2006.0,Blacklisted News,https://mediabiasfactcheck.com/blacklisted-news/,,CP,,131,https://blacklistednews.com/,,200,↗,1280
blingnews.com,low,3966576,2016.0,Blingnews.com,https://mediabiasfactcheck.com/blingnews-com/,,FN,,1610,http://www.blingnews.com/,1.0,200,↗,2
bluntforcetruth.com,low,430699,2014.0,Blunt Force Truth,https://mediabiasfactcheck.com/blunt-force-truth/,,FN,,1615,https://bluntforcetruth.com/,1.0,200,↗,7
bongino.com,mixed,76865,2008.0,Bongino.com,https://mediabiasfactcheck.com/bongino-com/,,FN,44.5,2461,https://bongino.com/,,200,↗,131
bossip.com,mixed,31982,2006.0,Bossip,https://mediabiasfactcheck.com/bossip/,,FN,55.0,2569,http://bossip.com/,,200,↗,3035
breaking911.com,very-low,107352,,Breaking911,https://mediabiasfactcheck.com/breaking911/,,FN,,143,https://breaking911.com/,1.0,200,↗,12
breakingchristiannews.com,low,850195,2004.0,Breaking Christian News,https://mediabiasfactcheck.com/breaking-christian-news/,,FN,44.5,2617,http://breakingchristiannews.com/,1.0,200,↗,129
breakingfirst.com,low,1098222,2015.0,Breaking First,https://mediabiasfactcheck.com/breaking-first/,,FN,,4765,https://breakingfirst.com/,1.0,200,↗,6
breakingnews247.net,low,577109,2016.0,Breakingnews247.net,https://mediabiasfactcheck.com/breakingnews247-net/,,FN,7.5,144,http://www.breakingnews247.net/,1.0,200,↗,0
breakingwide.com,mixed,5824733,2019.0,Breaking Wide,https://mediabiasfactcheck.com/breaking-wide/,,FN,,4927,https://breakingwide.com/,,200,↗,1
breitbart.com,mixed,311,1999.0,Breitbart,https://mediabiasfactcheck.com/breitbart/,,FN,42.0,149,https://breitbart.com/,,200,↗,19518
brightside.me,mixed,4170,2013.0,BrightSide,https://mediabiasfactcheck.com/brightside/,,CP,59.5,2462,https://brightside.me/,,200,↗,262
buffalochronicle.com,mixed,1050268,2014.0,The Buffalo Chronicle,https://mediabiasfactcheck.com/the-buffalo-chronicle/,,FN,7.5,2578,http://buffalochronicle.com/,,200,↗,2393
bugout.news,very-low,20000000,2015.0,Bugout.news,https://mediabiasfactcheck.com/bugout-news/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,2727,https://bugout.news/,1.0,200,↗,2
cair.com,mixed,421183,1996.0,Council for American-Islamic Relations (CAIR),https://mediabiasfactcheck.com/council-on-american-islamic-relations-cair/,,FN,,4861,https://www.cair.com/,,200,↗,2226
caixinglobal.com,mixed,99673,2016.0,Caixin Global,https://mediabiasfactcheck.com/caixin-global/,,FN,,4740,https://www.caixinglobal.com/,,200,↗,707
caldronpool.com,mixed,292368,2017.0,Caldron Pool,https://mediabiasfactcheck.com/caldron-pool/,,FN,,4908,https://caldronpool.com/,,200,↗,437
campusinsanity.com,very-low,20000000,2015.0,CampusInsanity,https://mediabiasfactcheck.com/campusinsanity-com/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,2729,https://campusinsanity.com/,1.0,200,↗,0
canadafreepress.com,low,136099,2002.0,Canada Free Press,https://mediabiasfactcheck.com/canada-free-press/,,FN,,157,https://canadafreepress.com/,1.0,200,↗,1488
cancer.news,very-low,20000000,,Cancer.news,https://mediabiasfactcheck.com/cancer-news/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,2728,https://cancer.news/,1.0,200,↗,322
cap-news.com,very-low,7164955,,Cap News,https://mediabiasfactcheck.com/cap-news/,,FN,,160,https://cap-news.com/,1.0,200,↗,0
carm.org,low,91110,1997.0,Christian Apologetics & Research Ministry (CARM),https://mediabiasfactcheck.com/christian-apologetics-research-ministry-carm/,https://en.wikipedia.org/wiki/Christian_Apologetics_and_Research_Ministry,CP,,2312,https://carm.org/,1.0,200,↗,97
catholic.org,mixed,25219,1994.0,Catholic Online,https://mediabiasfactcheck.com/catholic-online/,,CP,,1429,https://www.catholic.org/,,200,↗,168
cbn.com,mixed,21004,1995.0,Christian Broadcasting Network (CBN),https://mediabiasfactcheck.com/christian-broadcasting-network-cbn/,,CP,62.0,2420,https://cbn.com/,,200,↗,72471
cei.org,low,341823,1995.0,Competitive Enterprise Institute,https://mediabiasfactcheck.com/competitive-enterprise-institute/,https://en.wikipedia.org/wiki/Competitive_Enterprise_Institute,FN,,2313,https://cei.org/,1.0,200,↗,143
censored.news,low,341119,,Censored.news,https://mediabiasfactcheck.com/censored-news/,,FN,,1620,https://censored.news/,1.0,200,↗,415
centerforsecuritypolicy.org,mixed,553149,2001.0,Center for Security Policy,https://mediabiasfactcheck.com/center-for-security-policy/,,FN,,165,https://www.centerforsecuritypolicy.org/,,0,↗,381
cernovich.com,mixed,326066,2005.0,Cerno (Cernovich.com),https://mediabiasfactcheck.com/cerno-cernovich-com/,,FN,,1623,https://www.cernovich.com/,,200,↗,201
cfact.org,low,538026,1997.0,The Committee for a Constructive Tomorrow (CFACT),https://mediabiasfactcheck.com/committee-constructive-tomorrow-cfact-org/,https://en.wikipedia.org/wiki/Committee_for_a_Constructive_Tomorrow,CP,,2314,https://www.cfact.org/,1.0,200,↗,107
charismanews.com,mixed,72325,1998.0,Charisma News,https://mediabiasfactcheck.com/charisma-news/,,CP,75.0,170,https://www.charismanews.com/,,200,↗,527
childrenshealthdefense.org,low,78475,2018.0,Children's Health Defense,https://mediabiasfactcheck.com/childrens-health-defense/,https://en.wikipedia.org/wiki/Children%27s_Health_Defense,CP,12.5,2675,https://childrenshealthdefense.org/,1.0,200,↗,8708
chinadaily.com.cn,mixed,350,1997.0,China Daily,https://mediabiasfactcheck.com/china-daily/,,FN,,2543,https://chinadaily.com.cn/,,200,↗,2314
chlorellafactor.com,very-low,20000000,2004.0,Chlorella Factor,https://mediabiasfactcheck.com/chlorellafactor-com/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,2730,https://chlorellafactor.com/,1.0,200,↗,0
christianaction.org,low,500176,1999.0,Christian Action Network,https://mediabiasfactcheck.com/christian-action-network/,https://en.wikipedia.org/wiki/Christian_Action_Network,FN,,1624,https://christianaction.org/,1.0,200,↗,1
christianscience.com,low,178497,1998.0,Christian Science,https://mediabiasfactcheck.com/christian-science/,https://en.wikipedia.org/wiki/Christian_Science,CP,,1432,https://www.christianscience.com/,1.0,200,↗,73
churchmilitant.com,mixed,62430,,Church Militant,https://mediabiasfactcheck.com/church-militant/,,FN,,4859,https://www.churchmilitant.com/,,200,↗,2262
cityworldnews.com,very-low,16006975,2014.0,CityWorldNews,https://mediabiasfactcheck.com/cityworldnews/,,FN,,186,http://cityworldnews.com/,1.0,200,↗,0
clarionproject.org,low,208275,2012.0,Clarion Project,https://mediabiasfactcheck.com/clarion-project/,https://en.wikipedia.org/wiki/Clarion_Project,FN,,1625,https://clarionproject.org/,1.0,200,↗,56
clashdaily.com,low,160053,,Clash Daily,https://mediabiasfactcheck.com/clash-daily/,,FN,10.0,189,https://clashdaily.com/,1.0,200,↗,409
climate.news,very-low,5384066,2017.0,Climate.News,https://mediabiasfactcheck.com/climate-news/,https://en.wikipedia.org/wiki/Natural_News,FN,5.0,4675,https://climate.news/,1.0,200,↗,816
climatechangedispatch.com,low,782598,,Climate Change Dispatch,https://mediabiasfactcheck.com/climate-change-dispatch/,,CP,,2317,https://climatechangedispatch.com/,1.0,200,↗,199
climatedepot.com,mixed,194394,,Climate Depot,https://mediabiasfactcheck.com/climate-depot/,,CP,,1436,https://www.climatedepot.com/,,200,↗,339
climatism.blog,low,1160373,,Climatism,https://mediabiasfactcheck.com/climatism/,,CP,,2318,https://climatism.blog/,1.0,200,↗,277
cloverchronicle.com,low,1065138,2018.0,Clover Chronicle,https://mediabiasfactcheck.com/clover-chronicle-bias-credibility-fake-news/,,FN,,2319,https://cloverchronicle.com/,1.0,200,↗,384
cnn-globalnews.com,very-low,20000000,2018.0,cnn-globalnews.com,https://mediabiasfactcheck.com/cnn-globalnews-com/,,FN,,1627,http://www.cnn-globalnews.com/,1.0,200,↗,0
cnn.com.de,very-low,7501927,,Carla’s Nice Nunnery,https://mediabiasfactcheck.com/cnn-com-de/,,FN,,1326,http://cnn.com.de/,1.0,200,↗,0
cnsnews.com,low,33402,1998.0,CNS News,https://mediabiasfactcheck.com/cns-news/,https://en.wikipedia.org/wiki/CNSNews.com,FN,62.0,196,https://www.cnsnews.com/,1.0,200,↗,2267
coasttocoastam.com,low,22966,1999.0,Coast to Coast AM,https://mediabiasfactcheck.com/coast-to-coast-am/,https://en.wikipedia.org/wiki/Coast_to_Coast_AM,CP,,197,https://www.coasttocoastam.com/,1.0,200,↗,371
collapse.news,very-low,2494406,2015.0,Collapse.News,https://mediabiasfactcheck.com/collapse-news/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,4676,https://collapse.news/,1.0,200,↗,28
collective-evolution.com,low,24058,2009.0,Collective Evolution,https://mediabiasfactcheck.com/collective-evolution/,,CP,12.5,200,https://www.collective-evolution.com/,1.0,200,↗,766
concernedwomen.org,low,1264653,,Concerned Women for America,https://mediabiasfactcheck.com/concerned-women-america/,https://en.wikipedia.org/wiki/Concerned_Women_for_America,FN,,1628,https://concernedwomen.org/,1.0,200,↗,11
consciouslifenews.com,mixed,220946,2010.0,Conscious Life News,https://mediabiasfactcheck.com/conscious-life-news/,,CP,,205,https://consciouslifenews.com/,,0,↗,116
conservapedia.com,mixed,117145,,Conservapedia,https://mediabiasfactcheck.com/conservapedia/,,FN,,206,https://www.conservapedia.com/,,200,↗,61
conservative-headlines.org,low,2921198,2016.0,Council of Conservative Citizens,https://mediabiasfactcheck.com/council-of-conservative-citizens/,https://en.wikipedia.org/wiki/Council_of_Conservative_Citizens,FN,,1640,http://conservative-headlines.org/,1.0,200,↗,10
conservativeammo.com,low,2874905,2016.0,Conservative Ammo,https://mediabiasfactcheck.com/conservative-ammo/,,FN,,2320,https://conservativeammo.com/,1.0,200,↗,0
conservativedailypost.com,low,52389,2016.0,Conservative Daily Post,https://mediabiasfactcheck.com/conservative-daily-post/,,FN,12.5,211,https://conservativedailypost.com/,1.0,200,↗,754
conservativefighters.com,low,372795,2016.0,Conservative Fighters,https://mediabiasfactcheck.com/conservative-fighters/,,FN,,212,https://conservativefighters.com/,1.0,200,↗,1
conservativefiringline.com,mixed,264618,2012.0,Conservative Firing Line,https://mediabiasfactcheck.com/conservative-firing-line/,,FN,17.5,213,https://conservativefiringline.com/,,200,↗,561
conservativefreepress.com,low,498141,2015.0,Conservative Free Press,https://mediabiasfactcheck.com/conservative-free-press/,,FN,,1630,http://www.conservativefreepress.com/,1.0,200,↗,19
conservativemedia.com,low,4467955,2002.0,Conservative Media,https://mediabiasfactcheck.com/conservative-media/,,FN,,1632,https://conservativemedia.com/,1.0,200,↗,11
conservativepost.com,low,775568,2013.0,Conservative Post,https://mediabiasfactcheck.com/conservative-post/,,FN,29.5,1638,https://conservativepost.com/,1.0,200,↗,29
conspiracydailyupdate.com,low,376327,2016.0,Conspiracy Daily Update,https://mediabiasfactcheck.com/conspiracy-daily-update/,,CP,,1437,https://conspiracydailyupdate.com/,1.0,200,↗,95
consumerwellness.org,very-low,4350479,,Consumer Wellness Center,https://mediabiasfactcheck.com/consumer-wellness-center/,,CP,,4677,https://consumerwellness.org/,1.0,200,↗,1
corbettreport.com,low,93466,,The Corbett Report,https://mediabiasfactcheck.com/the-corbett-report/,,CP,,235,https://www.corbettreport.com/,1.0,200,↗,565
cosmicintelligenceagency.com,low,237380,2005.0,Cosmic Intelligence Agency,https://mediabiasfactcheck.com/cosmic-intelligence-agency/,,CP,,1438,https://cosmicintelligenceagency.com/,1.0,200,↗,3
counterpsyops.com,mixed,8299903,,CounterPsyOps,https://mediabiasfactcheck.com/counterpsyops/,,CP,,241,https://counterpsyops.com/,,200,↗,11
counterthink.com,very-low,6181565,,CounterThink.com,https://mediabiasfactcheck.com/counterthink-com/,https://en.wikipedia.org/wiki/Natural_News,CP,5.0,4678,https://counterthink.com/,1.0,200,↗,0
creation.com,low,55961,1995.0,Christian Ministries International,https://mediabiasfactcheck.com/christian-ministries-international/,,CP,,1431,https://creation.com/,1.0,200,↗,282
creationwiki.org,mixed,359502,,CreationWiki,https://mediabiasfactcheck.com/creationwiki/,,CP,,1442,https://creationwiki.org/,,301,↗,0
csglobe.com,low,1263204,2013.0,CS Globe,https://mediabiasfactcheck.com/cs-globe/,,CP,,1443,https://csglobe.com/,1.0,406,↗,17
curiousmindmagazine.com,low,122023,2015.0,Curious Mind Magazine,https://mediabiasfactcheck.com/curious-mind-magazine/,,CP,25.0,1444,https://curiousmindmagazine.com/,1.0,200,↗,10
dailybuzzlive.com,very-low,1425259,2013.0,Daily Buzz Live,https://mediabiasfactcheck.com/daily-buzz-live/,https://en.wikipedia.org/wiki/The_Daily_Buzz,FN,,252,https://dailybuzzlive.com/,1.0,200,↗,0
dailygrail.com,mixed,724153,1999.0,Daily Grail,https://mediabiasfactcheck.com/daily-grail/,,CP,,4862,https://www.dailygrail.com/,,200,↗,92
dailyheadlines.com,low,3062968,,Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,,FN,,258,http://dailyheadlines.com/,1.0,200,↗,14
dailyheadlines.net,low,428808,2014.0,Daily Headlines,https://mediabiasfactcheck.com/daily-headlines/,,FN,,259,http://dailyheadlines.net/,1.0,200,↗,0
dailyhealthpost.com,low,142158,2012.0,DailyHealthPost,https://mediabiasfactcheck.com/dailyhealthpost/,,CP,20.0,2322,https://dailyhealthpost.com/,1.0,200,↗,13
dailyinsidernews.com,low,20000000,2015.0,Daily Insider News,https://mediabiasfactcheck.com/daily-insider-news/,,FN,,261,http://dailyinsidernews.com/,1.0,200,↗,0
dailyoccupation.com,low,722179,2016.0,Daily Occupation,https://mediabiasfactcheck.com/daily-occupation/,,CP,,269,https://dailyoccupation.com/,1.0,200,↗,0
dailypoliticalnewswire.com,mixed,352105,2016.0,Daily Political Newswire,https://mediabiasfactcheck.com/daily-political-newswire/,,FN,22.0,4863,https://dailypoliticalnewswire.com/,,200,↗,58
